Dates,5-day Biochemical Oxygen Demand (mg/L),Ammonia Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (%saturation),Dissolved Oxygen (mg/L),E. coli (cfu/100mL),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),pH,Phaeo-pigments (μg/L),Salinity (psu),Secchi Disc Depth (M),Silica (mg/L),Suspended Solids (mg/L),Temperature (°C),Total Inorganic Nitrogen (mg/L),Turbidity (NTU),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L)
2019/3/1,0.8,0.15,8.8,90,6.8,4900,7500,0.086,0.01,0.018,8.1,1.2,32,2.7,0.27,3,20,0.25,1,0.005,1
2019/4/11,0.6,0.12,2.9,86,6.1,170,370,0.24,0.014,0.019,7.9,1.2,31,3,0.85,10,23.6,0.37,2.1,0.004,2.4
2019/5/10,0.3,0.14,0.6,71,5,300,1100,0.29,0.02,0.025,7.7,0.5,29.7,2.6,1.2,4.8,24,0.45,2.4,0.003,0.8
2019/6/3,0.1,0.13,0.8,65,4.5,640,2300,0.34,0.039,0.028,7.6,0.9,26.8,2,1.9,5,26.5,0.51,3.6,0.003,0.8
2019/6/3,0.2,0.13,0.9,60,4.2,1300,3000,0.33,0.04,0.027,7.6,0.2,27.3,2,1.8,8.8,26.3,0.5,5.2,0.003,1.3
2019/6/3,0.1,0.17,0.5,71,4.8,2400,5000,0.19,0.027,0.029,7.6,2,30.7,2,1.4,7.8,26,0.39,4.6,0.003,1
2019/7/25,2.5,0.039,29,97,6.6,160,1900,0.23,0.027,0.003,8.3,7.4,27.6,1.8,0.71,15,27.4,0.3,15.2,0.004,4
2019/7/25,1.2,0.06,21,76,5.2,430,1500,0.26,0.033,0.014,8,3.6,29,1.8,1.6,11,26.1,0.35,14.8,0.003,3
2019/7/25,0.7,0.052,19,40,2.8,1800,3900,0.18,0.043,0.003,7.9,4.1,32.2,1.8,1.6,18,24.8,0.28,15.4,0.002,3.3
2019/8/8,0.4,0.1,0.6,60,4.1,1100,2100,0.21,0.08,0.026,7.9,0.7,28.6,2,2,6.6,27.6,0.39,13.7,0.004,0.9
2019/8/8,0.5,0.13,1.5,61,4.1,410,1000,0.14,0.053,0.023,7.9,2.2,29.8,2,1.7,26,27.6,0.32,18.1,0.006,2.7
2019/9/12,0.6,0.11,4.6,92,6,220,1100,0.18,0.035,0.008,8.2,3.1,28.7,1.9,1.8,14,29,0.33,8,0.01,1.9
2019/9/12,0.6,0.11,5.1,76,5,620,2100,0.17,0.036,0.013,8.2,2.7,28.8,1.9,1.8,11,28.9,0.32,7.5,0.01,1.5
2019/9/12,0.4,0.13,4.6,72,4.7,430,1900,0.14,0.032,0.015,8.2,2.2,29.4,1.9,1.6,6.7,28.8,0.3,4.4,0.011,1
2019/10/4,0.2,0.13,0.6,69,4.5,320,720,0.33,0.065,0.021,7.8,0.6,30.7,2.3,1.8,6.9,29.5,0.53,5.2,0.005,1
2019/12/2,0.3,0.21,1.7,85,6,1400,3400,0.067,0.014,0.023,8.1,0.5,33,2.3,0.75,4.8,23.7,0.29,26.2,0.01,1.4
2019/12/2,0.3,0.21,2,77,5.4,4800,13000,0.063,0.014,0.024,8.1,0.4,33,2.3,0.8,4,23.7,0.29,3.2,0.01,1
2019/12/2,0.3,0.21,2,78,5.5,4500,12000,0.059,0.014,0.027,8.1,1.3,33.1,2.3,0.62,5.2,23.6,0.28,4.3,0.01,1.3
2019/1/4,0.4,0.11,0.7,76,5.8,240,390,0.084,0.022,0.022,8,0.5,33.1,2,0.92,4.6,19.4,0.22,3,0.003,0.7
2019/1/4,0.4,0.1,0.2,86,6.5,450,740,0.081,0.022,0.022,8,1,33.2,2,0.97,5.4,19.5,0.2,2.7,0.003,0.8
2019/2/8,1.4,0.084,5.3,103,7.8,190,250,0.32,0.019,0.014,8,2.9,29.7,2.7,0.36,3.2,20,0.42,1.7,0.003,1.2
2019/2/8,1.5,0.097,4.5,111,8.4,270,400,0.31,0.018,0.015,8,3.6,29.9,2.7,0.36,4.1,19.9,0.43,1.4,0.003,1.6
2019/2/8,1.4,0.11,5.6,106,8.1,280,350,0.29,0.016,0.017,8,2.8,30.2,2.7,0.36,4.5,19.8,0.42,1.8,0.003,1.3
2019/3/25,0.1,0.2,0.4,75,5.5,120,420,0.19,0.014,0.03,7.8,1.6,31.1,2.5,0.93,11,21.5,0.4,2.9,0.004,2
2019/5/9,0.6,0.14,0.3,71,5.1,420,2100,0.34,0.023,0.026,7.7,0.6,28.8,2.4,1.5,4,23.9,0.5,2.4,0.003,0.7
2019/5/9,0.5,0.14,0.5,63,4.5,780,4000,0.32,0.022,0.028,7.7,0.6,29,2.4,1.3,5.8,24,0.48,2.5,0.003,1.2
2019/5/9,0.4,0.15,0.4,74,5.2,900,3700,0.31,0.021,0.027,7.7,0.5,29.7,2.4,1.3,6.7,24,0.48,3.9,0.003,1.2
2019/7/24,0.7,0.08,6.1,62,4.2,900,2600,0.25,0.032,0.021,7.4,1.9,29.7,2.3,2,10,25.6,0.36,2.7,0.001,2.2
2019/8/9,1,0.018,4.7,85,5.7,140,600,0.56,0.13,0.017,8,1.6,22.4,2,2.8,4.6,29.3,0.71,21.2,0.001,0.8
2019/8/9,1,0.033,3.9,86,5.8,430,1100,0.44,0.12,0.019,7.9,1.4,23.5,2,2,4.9,28.8,0.59,19.9,0.002,0.9
2019/8/9,0.8,0.072,0.9,58,3.8,450,2100,0.2,0.089,0.014,7.9,0.4,29.6,2,2,6.2,27.6,0.36,25,0.003,0.8
2019/9/11,0.9,0.046,15,99,6.5,90,180,0.26,0.048,0.002,8.4,2.3,25.8,2.3,1.8,7,29.4,0.35,4,0.006,2
2019/9/11,0.8,0.072,13,106,7,160,430,0.23,0.042,0.005,8.3,2.6,27.2,2.3,1.8,7.6,29,0.34,4.6,0.008,1.4
2019/9/11,0.4,0.09,9.1,91,6,110,430,0.17,0.034,0.01,8.2,3.7,29,2.3,1.8,8.7,28.7,0.29,7.2,0.008,1.7
2019/10/4,0.1,0.084,1.1,75,4.9,200,880,0.4,0.081,0.023,7.8,0.6,29.3,2.1,2,7.4,29.9,0.57,4.9,0.003,1.3
2019/10/4,0.2,0.12,1,69,4.5,670,1700,0.35,0.067,0.019,7.8,0.3,30.5,2.1,1.9,8.2,29.5,0.54,4.7,0.005,1.3
2019/11/4,0.4,0.062,0.4,86,5.8,670,2400,0.15,0.075,0.027,7.8,1,31.7,2.3,1.4,5.3,26.7,0.29,4.5,0.002,0.9
2019/11/4,0.5,0.071,0.7,62,4.1,270,1200,0.15,0.075,0.028,7.8,0.4,31.7,2.3,1.4,4.6,26.7,0.3,4.3,0.002,0.7
2019/12/4,0.4,0.18,1.7,78,5.5,1200,2100,0.057,0.016,0.023,8.1,1.6,33.1,2,0.82,14,23,0.25,3.6,0.009,1.6
2019/12/4,0.3,0.18,1.7,79,5.6,930,2000,0.054,0.017,0.022,8.1,1.6,33.1,2,0.9,15,23,0.25,3.8,0.008,1.9
2019/12/4,0.3,0.17,1.6,78,5.5,900,2300,0.052,0.018,0.022,8.1,1.4,33.1,2,0.88,13,23,0.24,4.1,0.008,1.6
2019/1/2,0.4,0.048,0.6,80,6.1,370,700,0.074,0.02,0.022,8,0.6,33.5,2,0.85,4.4,18.8,0.14,3,0.001,1
2019/1/2,0.5,0.052,0.5,92,6.9,320,440,0.075,0.02,0.022,8,0.4,33.3,2,0.85,4.5,19.5,0.15,2,0.002,0.8
2019/1/2,0.4,0.049,0.3,90,6.8,240,580,0.076,0.021,0.021,8,1.5,33.3,2,0.82,4,19.5,0.15,2.1,0.002,0.7
2019/2/13,1.2,0.2,2.2,92,7,60,170,0.13,0.009,0.02,8,2,31.6,3,0.37,6.2,19.5,0.34,2.4,0.006,2
2019/2/13,0.8,0.18,0.5,96,7.3,130,200,0.12,0.009,0.025,8,0.5,31.7,3,0.41,5.1,19.5,0.31,0.7,0.005,1.6
2019/2/13,0.7,0.14,1.2,95,7.2,60,220,0.11,0.011,0.012,8,0.3,31.9,3,0.5,7,19.4,0.26,0.9,0.004,2
2019/3/1,0.6,0.096,8.9,94,7.1,110,170,0.08,0.013,0.013,8.1,1.8,32.2,3.3,0.32,3.6,20.1,0.19,0.5,0.003,1.6
2019/3/1,0.8,0.079,6.8,96,7.2,210,540,0.079,0.013,0.021,8.1,1.6,32.2,3.3,0.35,1.4,20.1,0.17,0.5,0.003,0.9
2019/3/1,0.5,0.077,4.5,92,7,250,360,0.083,0.015,0.015,8.1,1.1,32.3,3.3,0.36,2.4,19.9,0.18,0.5,0.003,0.8
2019/4/11,0.9,0.19,4,81,5.7,140,660,0.22,0.015,0.03,7.9,1.7,31.3,4.5,0.67,9.2,23.7,0.43,2.6,0.006,2.4
2019/5/10,0.7,0.21,0.6,84,5.9,90,320,0.24,0.02,0.029,7.6,0.5,30.5,2.6,1,3.4,24.1,0.47,2.7,0.004,1.1
2019/5/10,0.5,0.16,0.6,64,4.5,530,2700,0.16,0.015,0.027,7.7,0.5,31.7,2.6,0.82,6.9,23.8,0.34,5.7,0.003,1.4
2019/6/3,0.6,0.18,1.4,74,5.1,2100,2700,0.32,0.037,0.027,7.6,0.9,27.2,2.2,2.1,2,26.7,0.54,5.7,0.004,0.6
2019/6/3,0.4,0.2,1.7,65,4.5,2200,3700,0.29,0.034,0.029,7.5,0.6,27.6,2.2,1.9,3.5,26.5,0.52,2.1,0.004,0.8
2019/6/3,0.2,0.09,0.3,65,4.4,2600,3500,0.13,0.029,0.016,7.5,1.2,30.4,2.2,1.1,8.3,26.1,0.25,5.6,0.002,1
2019/7/25,3.6,0.024,37,151,10.2,390,760,0.18,0.02,0.004,8.5,11,25.9,2.2,0.25,15,28.2,0.22,14.8,0.004,4.4
2019/8/8,1.5,0.12,2.6,73,4.8,43,100,0.23,0.084,0.015,7.9,0.4,27.9,2.4,2,2.8,28.4,0.43,10.7,0.006,0.9
2019/8/8,4.8,0.22,1.8,66,4.4,430,870,0.18,0.061,0.024,7.9,1.3,28.9,2.4,1.8,3.2,27.8,0.46,11.4,0.01,0.8
2019/8/8,0.4,0.16,2,64,4.3,1300,2600,0.14,0.038,0.02,7.9,2.1,29.8,2.4,1.6,23,27.8,0.34,16.4,0.007,2.7
2019/9/12,0.9,0.22,8.6,87,5.7,80,270,0.13,0.03,0.015,8.2,3.3,29.6,2.5,1.1,7.1,29.1,0.38,5.3,0.018,1.7
2019/9/12,0.8,0.2,10,65,4.2,100,360,0.13,0.029,0.018,8.2,2.6,29.7,2.5,1.2,7.7,29,0.36,5.9,0.016,1.7
2019/9/12,0.7,0.18,8.7,67,4.4,410,1600,0.12,0.028,0.019,8.1,3.7,30.3,2.5,1.4,17,28.9,0.33,10.7,0.013,2.3
2019/10/3,0.6,0.25,0.9,69,4.4,70,620,0.24,0.041,0.029,7.8,0.6,31.3,2.2,2,5.9,29.8,0.53,4.4,0.009,1
2019/10/3,0.6,0.25,1.1,67,4.3,3000,8800,0.24,0.043,0.027,7.8,1.1,31.3,2.2,2,10,29.6,0.53,5.2,0.009,1.6
2019/10/3,0.6,0.25,0.8,63,4.1,2100,6900,0.24,0.044,0.027,7.7,1,31.3,2.2,1.6,6.8,29.4,0.53,14.4,0.008,1.4
2019/11/4,0.6,0.19,1.4,91,6,190,330,0.11,0.038,0.034,7.8,0.3,32.4,3,1.2,3.2,26.8,0.34,4.9,0.006,0.7
2019/12/2,0.4,0.18,1.9,89,6.2,660,1100,0.074,0.013,0.031,8.1,1.1,33.1,2.4,0.75,7.3,23.5,0.27,12.7,0.008,1.8
2019/12/2,0.3,0.18,1.8,78,5.4,370,880,0.071,0.013,0.028,8,1.1,33.1,2.4,0.74,6.4,23.5,0.26,3.9,0.008,1.2
2019/12/2,0.3,0.18,2,81,5.7,180,450,0.069,0.013,0.026,8,1.6,33.2,2.4,0.63,14,23.5,0.26,4.5,0.008,2.6
2019/2/13,0.5,0.083,1.3,88,6.7,370,1200,0.098,0.009,0.011,8,1.2,32.1,3.1,0.47,6.4,19.3,0.19,0.8,0.002,1.9
2019/2/13,0.4,0.084,1.2,98,7.4,320,770,0.088,0.009,0.013,8,0.5,32.2,3.1,0.49,6.8,19.3,0.18,0.5,0.002,1.7
2019/2/13,0.2,0.083,1.8,95,7.3,360,670,0.093,0.012,0.015,8,0.6,32.3,3.1,0.58,5.7,19.3,0.19,0.7,0.002,1.5
2019/4/11,0.4,0.06,3,90,6.4,14,32,0.07,0.006,0.021,7.9,0.9,33.7,4.6,0.33,9.2,22.5,0.14,0.8,0.002,2.2
2019/5/10,0.4,0.13,0.8,74,5.2,600,1300,0.18,0.027,0.039,7.7,0.2,31.8,2.8,0.76,2.9,23.8,0.34,1.6,0.002,1.1
2019/7/25,3.3,0.073,23,129,8.7,1200,2400,0.18,0.026,0.003,8.4,5.3,28.2,2,0.1,16,27.3,0.28,13.1,0.008,4.8
2019/7/25,1.8,0.08,26,91,6.2,550,1900,0.15,0.021,0.012,8.1,6.8,31.1,2,0.3,13,25.8,0.25,12.9,0.005,3.1
2019/8/8,0.9,0.18,2.2,67,4.4,190,400,0.15,0.043,0.021,7.9,0.3,29.5,2.5,1.5,3.4,28.1,0.37,14.7,0.009,0.8
2019/8/8,0.6,0.15,1.7,74,4.9,640,1100,0.14,0.037,0.023,8,2.4,30.1,2.5,1.4,4.5,27.9,0.33,15.6,0.007,0.8
2019/8/8,0.5,0.13,1.6,75,4.9,470,800,0.13,0.034,0.02,8,1.2,30.6,2.5,1.3,5.2,27.8,0.29,15.8,0.007,1.2
2019/9/12,1.1,0.11,16,76,5,330,830,0.14,0.034,0.017,8.2,3,30.3,2.3,0.59,5.8,29.2,0.28,3.6,0.01,1.8
2019/9/12,1.1,0.11,16,82,5.3,420,730,0.11,0.03,0.017,8.2,2.8,30.6,2.3,0.62,6,29,0.25,3.3,0.009,1.8
2019/9/12,0.7,0.08,10,86,5.6,310,1000,0.068,0.027,0.014,8.2,2.2,31.5,2.3,0.72,4.9,28.7,0.18,3.1,0.007,1
2019/10/3,0.4,0.15,1.7,90,5.7,150,290,0.15,0.024,0.019,7.8,0.8,32.2,2.4,1.4,5.6,29.3,0.32,4.8,0.006,1
2019/10/3,0.4,0.12,1.3,77,4.9,170,530,0.12,0.02,0.018,7.8,1.9,32.5,2.4,0.97,10,29.2,0.26,5.6,0.005,1.7
2019/10/3,0.3,0.12,1.1,77,4.9,130,450,0.12,0.02,0.017,7.8,1.7,32.5,2.4,0.95,12,29.2,0.26,6.1,0.005,1.6
2019/11/21,0.5,0.12,1.3,88,6.1,120,920,0.06,0.012,0.013,7.9,0.4,33,2.9,0.51,3.2,24.6,0.19,3,0.004,0.7
2019/11/21,0.5,0.13,1.2,72,5,260,540,0.06,0.011,0.018,7.9,1.4,33.1,2.9,0.53,3.7,24.5,0.2,2.9,0.004,0.8
2019/11/21,0.4,0.11,1.6,86,6,220,730,0.056,0.01,0.01,7.9,1.2,33.2,2.9,0.49,11,24.5,0.18,3,0.004,1.8
2019/12/2,0.3,0.086,1.9,84,5.9,300,570,0.075,0.018,0.023,8.1,0.6,33.3,2.4,0.66,6.4,23.3,0.18,6,0.004,1.2
2019/12/2,0.3,0.086,1.6,82,5.8,400,790,0.073,0.014,0.024,8.1,1.3,33.3,2.4,0.65,2.1,23.3,0.17,2.4,0.004,0.8
2019/12/2,0.2,0.072,1.9,88,6.2,290,590,0.061,0.013,0.021,8.1,2.8,33.4,2.4,0.51,3.8,23.2,0.15,5.9,0.003,0.8
2019/1/2,0.5,0.033,0.3,86,6.5,280,500,0.073,0.02,0.02,8,0.3,33.1,2,0.87,2.7,18.8,0.13,2.6,0.001,0.5
2019/1/2,0.3,0.036,0.4,94,7.1,250,320,0.073,0.021,0.02,8,1.1,33.3,2,0.85,4.1,19.3,0.13,1.9,0.001,1.1
2019/2/13,0.4,0.1,1.2,88,6.7,230,810,0.1,0.011,0.02,8,0.9,32,3.3,0.48,7,19.3,0.21,1,0.003,2.1
2019/2/13,0.6,0.28,1.1,95,7.3,260,640,0.12,0.008,0.021,8,2.5,32.1,3.3,0.39,6.2,19.3,0.41,0.5,0.008,2
2019/2/13,0.4,0.09,1.4,94,7.1,220,670,0.1,0.012,0.01,8,0.5,32.1,3.3,0.55,5.8,19.3,0.2,0.9,0.002,1.4
2019/3/1,0.4,0.052,3.1,96,7.2,190,300,0.059,0.009,0.014,8.1,1.8,32.5,3.4,0.43,1.7,19.8,0.12,0.5,0.002,0.8
2019/4/11,1,0.16,8,79,5.5,90,130,0.2,0.022,0.022,7.9,2.2,31.6,3.7,0.47,8.4,23.9,0.38,0.3,0.005,2.5
2019/4/11,1.1,0.18,5.7,93,6.5,140,350,0.22,0.031,0.04,7.9,0.9,31.6,3.7,0.54,9.1,23.8,0.43,0.2,0.006,2.9
2019/5/10,0.4,0.1,0.6,65,4.6,630,1300,0.12,0.015,0.021,7.7,0.6,32.1,2.7,0.68,3.8,23.7,0.24,1.9,0.002,1.2
2019/7/25,2.9,0.068,38,123,8.4,860,2200,0.16,0.021,0.002,8.3,11,28.2,1.9,0.12,13,27.3,0.25,13,0.007,4.6
2019/7/25,1.3,0.068,19,68,4.7,380,1100,0.1,0.013,0.005,8,6.1,31.9,1.9,0.51,10,25,0.18,14.4,0.003,2.6
2019/8/8,0.9,0.16,1.9,73,4.9,570,1500,0.14,0.039,0.017,7.9,1.7,29.9,2.3,1.4,3.7,27.9,0.34,11.5,0.008,0.5
2019/8/8,0.7,0.093,2.2,77,5.1,490,880,0.1,0.026,0.015,8,2.2,30.5,2.3,1.2,9.4,27.9,0.22,14.3,0.005,1.4
2019/9/12,1,0.14,12,79,5.1,60,180,0.12,0.029,0.009,8.2,2.7,30.1,2.7,0.72,5.1,29.3,0.29,4,0.013,1.8
2019/9/12,0.7,0.13,7.6,74,4.8,950,1400,0.11,0.029,0.016,8.2,2.3,30.5,2.7,1.1,6.2,28.9,0.27,3.6,0.01,1.4
2019/9/12,0.6,0.12,7.8,70,4.5,450,1100,0.097,0.029,0.016,8.1,3,30.8,2.7,1,5.1,28.8,0.25,4.4,0.009,1.1
2019/10/3,0.4,0.22,1,67,4.3,1000,3900,0.21,0.034,0.026,7.8,1,31.6,1.7,1.8,6.9,29.5,0.46,5.7,0.007,1.2
2019/10/3,0.3,0.13,1.2,71,4.5,2700,6200,0.12,0.02,0.017,7.8,1.5,32,1.7,1.2,9.8,29.4,0.27,6.6,0.005,1.5
2019/10/3,0.4,0.18,1.1,79,5,1200,2700,0.17,0.027,0.019,7.8,1.3,32.5,1.7,1.2,13,29.2,0.38,6.9,0.007,1.8
2019/11/21,0.6,0.15,1.6,81,5.6,270,550,0.064,0.012,0.013,7.9,1.6,33,2.8,0.55,4.4,24.6,0.23,4.2,0.005,0.9
2019/11/21,0.5,0.14,1.3,84,5.8,420,830,0.061,0.011,0.019,7.9,1.3,33.1,2.8,0.45,12,24.6,0.21,3.9,0.005,2
2019/12/2,0.3,0.13,1.5,86,6.1,390,1000,0.075,0.013,0.025,8.1,1.7,33.2,2.3,0.74,6.9,23.4,0.22,11.1,0.007,1.3
2019/12/2,0.5,0.12,1.6,80,5.6,470,1200,0.077,0.014,0.028,8.1,2.2,33.2,2.3,0.74,7.8,23.4,0.21,3.9,0.006,1.5
2019/12/2,0.3,0.12,1.9,85,6,800,1600,0.073,0.013,0.024,8.1,1.7,33.2,2.3,0.62,5.2,23.4,0.21,4.6,0.006,0.9
2019/1/2,0.4,0.039,0.2,83,6.3,380,900,0.076,0.02,0.021,8,0.5,33.2,2,0.82,4.4,18.9,0.14,2.8,0.001,0.9
2019/2/13,0.5,0.13,1.8,87,6.6,150,890,0.11,0.01,0.012,8,0.8,31.9,3.2,0.44,6.8,19.5,0.25,0.6,0.004,1.9
2019/2/13,0.4,0.094,1.4,94,7.2,160,380,0.1,0.009,0.01,8,0.6,31.9,3.2,0.49,6.9,19.4,0.2,0.5,0.003,2.1
2019/2/13,0.4,0.12,0.9,95,7.2,230,830,0.11,0.012,0.012,8,0.6,32.1,3.2,0.51,7.2,19.3,0.24,0.7,0.003,1.8
2019/3/1,0.5,0.059,5,91,6.9,140,260,0.071,0.012,0.015,8,1.6,32.4,3.5,0.39,9.4,20,0.14,0.5,0.002,2.7
2019/3/1,0.6,0.06,5.2,92,6.9,80,240,0.069,0.012,0.013,8.1,1.5,32.4,3.5,0.37,4.8,19.9,0.14,0.4,0.002,1
2019/3/1,0.4,0.056,4.2,97,7.3,180,340,0.07,0.012,0.011,8.1,0.8,32.5,3.5,0.43,3,19.8,0.14,0.4,0.002,0.9
2019/4/11,0.9,0.15,4.7,69,4.9,90,210,0.18,0.013,0.024,7.9,0.3,31.7,4.3,0.49,9,23.8,0.34,0.3,0.005,2.5
2019/4/11,0.8,0.15,4.2,91,6.5,100,190,0.17,0.012,0.02,7.9,1.1,32.1,4.3,0.48,10,23.4,0.33,0.6,0.005,3
2019/5/10,0.4,0.13,0.5,73,5.1,330,830,0.16,0.02,0.028,7.7,0.6,31.8,2.6,0.73,3.3,23.9,0.31,3.4,0.003,0.9
2019/7/25,2.8,0.072,33,111,7.5,820,5700,0.17,0.02,0.004,8.3,8.1,28,1.9,0.23,12,27.3,0.26,15.4,0.007,4.2
2019/7/25,1.8,0.083,32,98,6.7,900,2200,0.17,0.02,0.003,8.2,8.5,30.1,1.9,0.24,14,26.3,0.27,15.7,0.006,3.9
2019/7/25,0.7,0.094,12,56,3.9,190,350,0.086,0.044,0.006,8,3.4,32.3,1.9,0.83,12,24.8,0.22,15.5,0.004,2.9
2019/8/8,0.6,0.2,1.4,67,4.5,700,1700,0.16,0.051,0.022,7.9,1.2,29.4,2.5,1.7,4,27.9,0.41,12.2,0.009,0.8
2019/8/8,0.3,0.14,1.2,68,4.5,800,1400,0.14,0.036,0.022,7.9,0.9,30.1,2.5,1.5,5.6,27.8,0.32,13.4,0.006,1.2
2019/9/12,1.3,0.18,15,87,5.7,200,870,0.14,0.03,0.006,8.2,2.5,29.2,2.9,0.76,6.1,29.3,0.35,4,0.018,1.8
2019/9/12,1.2,0.17,12,81,5.3,260,1300,0.13,0.031,0.013,8.2,3.2,29.6,2.9,0.87,7,29,0.33,3.9,0.015,1.6
2019/9/12,0.9,0.17,11,80,5.2,420,2400,0.13,0.029,0.01,8.2,2.8,30.1,2.9,1,10,29,0.33,5.1,0.014,2
2019/10/3,0.6,0.24,1,95,6.1,530,1100,0.24,0.038,0.03,7.8,1.1,31.5,1.7,1.8,6.4,29.4,0.52,6,0.008,1
2019/10/3,0.5,0.22,0.9,67,4.3,620,2100,0.22,0.035,0.026,7.8,1.6,31.7,1.7,1.8,8.7,29.4,0.48,4.6,0.008,1.5
2019/10/3,0.5,0.22,1.2,69,4.4,480,1200,0.22,0.035,0.028,7.8,0.9,31.7,1.7,1.4,8.5,29.4,0.48,5.2,0.008,1.4
2019/11/21,0.6,0.15,2.5,71,4.9,190,440,0.058,0.011,0.021,7.9,0.8,33,2.4,0.53,4.4,24.6,0.22,3.6,0.005,1
2019/11/21,0.5,0.15,2.8,85,5.9,170,510,0.06,0.012,0.007,7.9,0.7,33.1,2.4,0.48,10,24.6,0.22,3.6,0.005,1.8
2019/12/2,0.2,0.17,1.8,93,6.5,180,420,0.074,0.013,0.025,8.1,0.8,33.2,2.7,0.74,3.5,23.4,0.26,19.1,0.009,1
2019/12/2,0.4,0.16,2.2,77,5.4,860,1200,0.068,0.012,0.025,8.1,1.9,33.1,2.7,0.59,6.6,23.4,0.24,3.8,0.008,1.2
2019/12/2,0.2,0.16,2.2,81,5.7,440,1100,0.072,0.013,0.027,8.1,1.4,33.2,2.7,0.6,4.1,23.4,0.25,4.4,0.007,1
2019/1/2,0.4,0.077,0.4,82,6.3,680,1200,0.08,0.02,0.025,8,0.6,33.2,2,0.87,4.1,18.8,0.18,5.4,0.002,0.8
2019/1/2,0.5,0.073,0.5,89,6.7,580,1500,0.082,0.021,0.025,8,0.7,33.2,2,0.86,4,19.5,0.18,2,0.002,0.8
2019/2/13,0.6,0.19,1.1,80,6.1,240,970,0.12,0.01,0.018,8,0.4,31.7,3.3,0.43,6.4,19.5,0.32,0.7,0.005,2.1
2019/2/13,0.6,0.11,0.9,94,7.2,330,1000,0.11,0.011,0.01,8,0.7,31.8,3.3,0.46,7.1,19.4,0.23,0.6,0.003,1.6
2019/2/13,0.7,0.12,0.9,93,7.1,280,1100,0.11,0.011,0.013,8,0.2,32,3.3,0.54,7.1,19.3,0.24,0.7,0.003,1.7
2019/3/1,0.4,0.074,4.2,91,6.8,150,620,0.075,0.012,0.01,8,1.3,32.3,3.8,0.38,8.9,20,0.16,0.7,0.002,2.6
2019/3/1,0.5,0.077,4.5,92,6.9,210,470,0.074,0.012,0.019,8.1,1.4,32.3,3.8,0.39,8,20,0.16,0.6,0.003,1.6
2019/3/1,0.4,0.066,2.6,93,7,520,1100,0.072,0.015,0.012,8.1,1.1,32.4,3.8,0.52,3,19.9,0.15,0.4,0.002,0.8
2019/4/11,0.8,0.15,5.3,87,6.1,110,340,0.21,0.013,0.024,7.9,1.1,31.7,4.7,0.52,8.5,24.2,0.37,0.2,0.005,2.5
2019/4/11,0.5,0.15,3.6,69,4.9,200,400,0.18,0.013,0.028,7.9,0.6,31.7,4.7,0.52,9,23.7,0.34,0.2,0.005,2.8
2019/4/11,0.6,0.15,3.6,87,6.2,160,370,0.17,0.012,0.02,7.9,0.5,32.2,4.7,0.52,11,23.4,0.33,0.3,0.005,3.3
2019/6/3,0.8,0.26,1.9,63,4.3,6800,11000,0.27,0.032,0.026,7.5,0.8,28.2,2.5,1.8,1.7,26.7,0.56,2.2,0.004,0.7
2019/6/3,0.6,0.24,1.1,55,3.8,11000,16000,0.26,0.032,0.028,7.5,0.6,28.6,2.5,1.7,2.9,26.3,0.53,1.7,0.004,0.7
2019/7/25,1.2,0.12,21,53,3.7,510,1800,0.16,0.023,0.016,8,5.6,32.2,1.9,0.55,10,25,0.3,14.6,0.005,2.8
2019/8/8,0.9,0.24,1.9,71,4.7,250,780,0.18,0.057,0.028,7.9,0.3,28.8,2.3,1.7,2.9,28.4,0.48,12.1,0.011,0.9
2019/8/8,0.7,0.21,1.7,66,4.4,650,900,0.17,0.053,0.029,7.9,1,29.5,2.3,1.7,4.2,27.8,0.43,12.5,0.009,1
2019/8/8,0.4,0.11,1.2,68,4.5,420,1000,0.13,0.034,0.015,7.9,1.1,30.4,2.3,1.4,14,27.7,0.27,16.6,0.005,2
2019/9/12,1.4,0.17,16,94,6.1,80,260,0.15,0.032,0.008,8.3,2.5,29,2.3,0.78,6,29.3,0.35,3.7,0.018,1.8
2019/9/12,1.4,0.18,15,90,5.9,390,1200,0.15,0.032,0.011,8.2,2.5,29.3,2.3,0.76,4.5,29,0.36,2.3,0.016,1.6
2019/9/12,0.8,0.17,9.6,80,5.2,510,1900,0.15,0.031,0.01,8.2,2.4,30.2,2.3,1.1,4.2,28.8,0.35,3.8,0.013,1.5
2019/10/3,0.7,0.27,1,64,4.1,4200,13000,0.25,0.04,0.029,7.8,1.1,31.3,1.9,1.8,6.8,29.6,0.56,4.8,0.009,1.2
2019/10/3,0.6,0.24,1.3,67,4.3,850,2400,0.24,0.039,0.029,7.8,1,31.5,1.9,1.9,9,29.5,0.52,4.6,0.008,2
2019/10/3,0.4,0.23,1.3,67,4.3,1300,2600,0.24,0.038,0.03,7.8,1.2,31.6,1.9,1.4,7.2,29.4,0.51,5.2,0.008,1.4
2019/11/21,0.8,0.16,1.6,88,6,1400,2000,0.052,0.012,0.005,8,0.3,33,3.2,0.49,4,24.6,0.22,6.1,0.006,1.1
