"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Mirs Bay","MM13","2021-07-22","1","Surface Water","<0.1","0.021","1.4","83","6","3","6","<0.002","<0.002","0.004","7.4","<0.2","33.5","10.7","0.18","0.7","28.8","0.03","N/A","N/A","N/A","2.2","<0.001","<0.5"
"Mirs Bay","MM13","2021-07-22","1","Middle Water","<0.1","0.018","0.7","66","4.3","<1","<1","<0.002","<0.002","0.006","7.4","0.3","33.5","10.7","0.15","1.1","28.4","0.02","N/A","N/A","N/A","2.2","<0.001","<0.5"
"Mirs Bay","MM13","2021-07-22","1","Bottom Water","<0.1","0.026","0.6","41","2.9","<1","<1","0.082","0.003","0.012","7.1","0.5","34.2","10.7","1.4","9.6","24.3","0.11","N/A","N/A","N/A","7.3","<0.001","1.6"
"Mirs Bay","MM13","2021-08-23","1","Surface Water","2.1","0.026","7.4","75","5.1","<1","<1","0.005","0.008","0.003","7.6","3.9","32","2.8","0.06","1.8","26.7","0.04","N/A","N/A","N/A","4","<0.001","<0.5"
"Mirs Bay","MM13","2021-08-23","1","Middle Water","0.7","0.019","6.5","55","3.9","<1","<1","0.023","0.003","0.007","7.3","1.1","34.3","2.8","0.44","1.8","22.9","0.05","N/A","N/A","N/A","3.2","<0.001","0.6"
"Mirs Bay","MM13","2021-08-23","1","Bottom Water","1.2","0.018","6.8","42","3","<1","<1","0.011","<0.002","0.004","7.3","1.5","34.4","2.8","0.18","2.2","22.2","0.03","N/A","N/A","N/A","5.7","<0.001","1.2"
"Mirs Bay","MM13","2021-09-29","1","Surface Water","0.5","0.026","1.6","90","5.7","<1","<1","0.019","<0.002","0.006","8.2","<0.2","33","4.4","0.26","0.9","30.3","0.05","N/A","N/A","N/A","15.7","0.002","0.6"
"Mirs Bay","MM13","2021-09-29","1","Middle Water","0.5","0.023","0.7","86","5.5","<1","<1","0.018","<0.002","0.006","8.2","<0.2","32.9","4.4","0.26","0.8","29.6","0.04","N/A","N/A","N/A","5.3","0.002","<0.5"
"Mirs Bay","MM13","2021-09-29","1","Bottom Water","0.3","0.032","1","48","3.1","<1","<1","0.025","0.005","0.008","8","<0.2","33.3","4.4","0.69","1.8","28.2","0.06","N/A","N/A","N/A","6.7","0.002","0.5"
"Mirs Bay","MM13","2021-10-27","1","Surface Water","0.2","0.026","0.7","82","5.6","<1","<1","0.022","0.028","0.008","8","0.9","33.4","2.9","0.7","5.4","25.7","0.08","N/A","N/A","N/A","14.9","0.001","1.5"
"Mirs Bay","MM13","2021-10-27","1","Middle Water","0.1","0.024","1.2","90","6.1","<1","<1","0.016","0.028","0.009","8","0.4","33.4","2.9","0.68","5.3","25.8","0.07","N/A","N/A","N/A","7.4","0.001","1.3"
"Mirs Bay","MM13","2021-10-27","1","Bottom Water","0.3","0.024","1.2","91","6.1","<1","<1","0.023","0.029","0.008","8","<0.2","33.4","2.9","0.68","4.8","25.8","0.08","N/A","N/A","N/A","9.3","0.001","0.9"
"Mirs Bay","MM13","2021-11-25","1","Surface Water","0.5","0.026","0.8","87","6.1","73","76","0.009","0.003","0.006","7.7","<0.2","33.9","2.6","0.28","3.1","23.7","0.04","0.63","0.64","0.02","6.5","<0.001","0.7"
"Mirs Bay","MM13","2021-11-25","1","Middle Water","0.6","0.017","1.3","91","6.3","<1","<1","0.006","0.003","0.007","7.7","<0.2","33.9","2.6","0.23","3.2","23.7","0.03","0.43","0.44","<0.02","6.6","<0.001","0.5"
"Mirs Bay","MM13","2021-11-25","1","Bottom Water","0.6","0.017","2.1","91","6.4","<1","<1","0.004","0.003","0.009","7.7","<0.2","33.9","2.6","0.22","5.8","23.7","0.02","0.47","0.48","0.02","9.1","<0.001","0.8"
"Mirs Bay","MM13","2021-12-16","1","Surface Water","0.3","0.014","0.6","83","5.9","1","4","<0.002","0.004","0.006","7.7","0.4","34.2","2.8","0.17","11","22.4","0.02","0.75","0.76","<0.02","6.2","<0.001","1.6"
"Mirs Bay","MM13","2021-12-16","1","Middle Water","0.3","0.022","0.7","94","6.7","<1","<1","<0.002","<0.002","0.005","7.8","<0.2","34.2","2.8","0.18","2.6","22.2","0.03","0.56","0.56","<0.02","5.5","<0.001","<0.5"
"Mirs Bay","MM13","2021-12-16","1","Bottom Water","0.3","0.018","0.6","92","6.6","<1","<1","<0.002","<0.002","0.005","7.8","<0.2","34.1","2.8","0.19","3.4","21.7","0.02","0.48","0.48","<0.02","12.7","<0.001","0.5"
"Mirs Bay","MM14","2021-02-18","1","Surface Water","0.8","0.033","3.1","80","6.1","<1","<1","<0.002","0.003","0.008","7.9","<0.2","32.4","6.3","0.35","6.9","18.9","0.04","0.97","0.98","0.16","2.4","<0.001","1.2"
"Mirs Bay","MM14","2021-02-18","1","Middle Water","0.7","0.038","3.2","82","6.2","<1","<1","<0.002","0.004","0.01","7.8","<0.2","32.9","6.3","0.32","6.4","18.8","0.04","0.77","0.78","0.08","2.3","<0.001","1.4"
"Mirs Bay","MM14","2021-02-18","1","Bottom Water","0.8","0.037","3.8","81","6.5","<1","<1","0.004","<0.002","0.009","7.8","<0.2","33.3","6.3","0.31","9.5","19.3","0.04","1.7","1.71","0.06","2.9","<0.001","1.4"
"Mirs Bay","MM14","2021-03-19","1","Surface Water","0.2","0.02","0.3","71","5.1","<1","<1","0.004","<0.002","0.006","7.9","<0.2","33.6","5.4","0.39","<0.5","22.4","0.03","0.06","0.07","0.04","2.1","<0.001","<0.5"
"Mirs Bay","MM14","2021-03-19","1","Middle Water","0.2","0.013","0.5","84","6.1","<1","<1","0.005","<0.002","0.007","7.9","<0.2","33.5","5.4","0.41","1.2","22.1","0.02","0.08","0.09","0.04","2.1","<0.001","<0.5"
"Mirs Bay","MM14","2021-03-19","1","Bottom Water","0.2","0.019","0.5","70","5.1","<1","<1","<0.002","<0.002","0.008","7.9","<0.2","33.8","5.4","0.4","<0.5","21.8","0.02","0.11","0.11","0.04","2.3","<0.001","<0.5"
"Mirs Bay","MM14","2021-04-22","1","Surface Water","0.2","0.021","0.4","70","4.8","<1","<1","0.002","<0.002","0.01","7.7","<0.2","34.1","3.7","0.16","1.8","24","0.03","0.47","0.47","0.04","3.5","<0.001","0.8"
"Mirs Bay","MM14","2021-04-22","1","Middle Water","0.1","0.029","0.7","74","5.2","<1","<1","<0.002","<0.002","0.016","7.7","<0.2","34","3.7","0.23","3.4","23.2","0.03","0.8","0.8","0.05","3.9","<0.001","0.6"
"Mirs Bay","MM14","2021-04-22","1","Bottom Water","0.2","0.027","0.8","73","5.2","<1","<1","<0.002","<0.002","0.014","7.7","<0.2","34","3.7","0.27","6.2","23","0.03","0.33","0.33","0.05","7.7","<0.001","0.6"
"Mirs Bay","MM14","2021-05-24","1","Surface Water","1.4","0.019","3.6","101","6.7","<1","<1","0.27","0.026","<0.002","7.8","0.9","26.9","4.3","<0.05","5.1","29.1","0.32","N/A","N/A","N/A","3.2","<0.001","1.4"
"Mirs Bay","MM14","2021-05-24","1","Middle Water","0.6","0.021","2.8","60","4.2","<1","<1","0.058","0.009","0.004","7.5","<0.2","34.1","4.3","0.23","2","24.3","0.09","N/A","N/A","N/A","2.7","<0.001","0.7"
"Mirs Bay","MM14","2021-05-24","1","Bottom Water","0.4","0.02","1.8","51","3.6","<1","<1","0.032","0.01","0.008","7.5","<0.2","34.4","4.3","0.41","2.4","22.6","0.06","N/A","N/A","N/A","3.3","<0.001","1.1"
"Mirs Bay","MM14","2021-06-24","1","Surface Water","0.9","0.031","4.1","63","4.3","1","3","0.002","<0.002","0.006","7.6","0.7","33.6","3.3","0.26","1.4","25.7","0.04","N/A","N/A","N/A","2.6","<0.001","0.5"
"Mirs Bay","MM14","2021-06-24","1","Middle Water","0.7","0.028","5.2","64","4.4","<1","<1","0.008","0.007","0.007","7.4","0.6","34","3.3","0.33","1.6","24.6","0.04","N/A","N/A","N/A","2.9","<0.001","<0.5"
"Mirs Bay","MM14","2021-06-24","1","Bottom Water","0.1","0.017","0.6","59","4.1","<1","<1","0.011","0.026","0.01","7.5","0.9","34.5","3.3","0.46","0.7","23.5","0.05","N/A","N/A","N/A","5.5","<0.001","<0.5"
"Mirs Bay","MM14","2021-07-22","1","Surface Water","<0.1","0.028","0.3","63","4.1","<1","<1","0.005","<0.002","0.004","7.4","0.3","32.2","6.2","0.32","1","28.4","0.04","N/A","N/A","N/A","5.8","<0.001","<0.5"
"Mirs Bay","MM14","2021-07-22","1","Middle Water","<0.1","0.029","0.7","63","4.1","<1","7","0.002","<0.002","0.004","7.4","0.4","33.1","6.2","0.25","1.3","28.3","0.03","N/A","N/A","N/A","2.3","<0.001","0.5"
"Mirs Bay","MM14","2021-07-22","1","Bottom Water","<0.1","0.026","0.6","66","4.3","<1","<1","0.005","<0.002","0.006","7.4","<0.2","33.3","6.2","0.27","1.3","27.7","0.03","N/A","N/A","N/A","3.1","<0.001","<0.5"
"Mirs Bay","MM14","2021-08-23","1","Surface Water","2.4","0.021","7.6","71","5.1","<1","<1","<0.002","<0.002","0.005","7.6","3.3","32.7","2.9","0.08","2.9","26","0.03","N/A","N/A","N/A","3.7","<0.001","0.7"
"Mirs Bay","MM14","2021-08-23","1","Middle Water","0.9","0.017","5.4","56","4","<1","1","0.018","<0.002","0.005","7.3","2.1","34.3","2.9","0.31","0.7","22.8","0.04","N/A","N/A","N/A","3.1","<0.001","<0.5"
"Mirs Bay","MM14","2021-08-23","1","Bottom Water","1.7","0.018","7.6","42","3","<1","<1","<0.002","0.006","0.004","7.3","2.6","34.4","2.9","0.09","2.4","22.1","0.03","N/A","N/A","N/A","5.6","<0.001","0.8"
"Mirs Bay","MM14","2021-09-29","1","Surface Water","0.5","0.035","0.8","92","5.7","<1","<1","0.028","<0.002","0.004","8.2","<0.2","32.9","6.2","0.29","1.1","30.7","0.07","N/A","N/A","N/A","9.3","0.003","0.7"
"Mirs Bay","MM14","2021-09-29","1","Middle Water","0.6","0.029","1.3","92","5.8","<1","1","0.018","<0.002","0.009","8.2","<0.2","32.9","6.2","0.29","1.7","29.8","0.05","N/A","N/A","N/A","4.8","0.002","0.7"
"Mirs Bay","MM14","2021-09-29","1","Bottom Water","0.3","0.032","0.8","83","5.3","<1","<1","0.021","<0.002","0.008","8.1","<0.2","32.9","6.2","0.36","1.1","29.5","0.06","N/A","N/A","N/A","5.5","0.002","<0.5"
"Mirs Bay","MM14","2021-10-27","1","Surface Water","0.3","0.022","0.8","83","5.6","<1","<1","0.014","0.024","0.007","8","0.3","33.4","2.7","0.63","3.2","26","0.06","N/A","N/A","N/A","19.9","0.001","0.7"
"Mirs Bay","MM14","2021-10-27","1","Middle Water","0.3","0.02","0.9","92","6.2","<1","<1","0.012","0.023","0.008","8","<0.2","33.4","2.7","0.61","3.6","25.9","0.06","N/A","N/A","N/A","6.2","<0.001","1.1"
"Mirs Bay","MM14","2021-10-27","1","Bottom Water","0.3","0.028","1","90","6","<1","<1","0.012","0.024","0.008","8","<0.2","33.5","2.7","0.62","3.6","25.9","0.06","N/A","N/A","N/A","9.5","0.001","0.8"
"Mirs Bay","MM14","2021-11-25","1","Surface Water","0.5","0.027","0.6","91","6.4","46","48","0.008","0.003","0.009","7.6","<0.2","33.7","2.4","0.41","3.5","23.3","0.04","0.72","0.73","0.03","6.9","<0.001","0.7"
"Mirs Bay","MM14","2021-11-25","1","Middle Water","0.6","0.027","1.3","89","6.2","<1","<1","0.007","0.003","0.008","7.6","<0.2","33.7","2.4","0.39","3.5","23.2","0.04","0.66","0.67","0.02","6.2","<0.001","<0.5"
"Mirs Bay","MM14","2021-11-25","1","Bottom Water","0.5","0.033","1.1","89","6.3","<1","<1","0.006","0.003","0.007","7.6","<0.2","33.7","2.4","0.37","3.2","23.2","0.04","0.48","0.49","0.02","7.4","<0.001","<0.5"
"Mirs Bay","MM14","2021-12-16","1","Surface Water","0.3","0.02","0.6","82","5.9","<1","<1","0.003","0.004","0.005","7.7","<0.2","34.1","3.6","0.21","9.1","22.3","0.03","0.59","0.6","0.03","5.6","<0.001","1.5"
"Mirs Bay","MM14","2021-12-16","1","Middle Water","0.4","0.021","0.7","93","6.7","<1","<1","<0.002","<0.002","0.006","7.8","<0.2","34.1","3.6","0.26","2.8","22.1","0.03","0.72","0.72","0.04","5.5","<0.001","<0.5"
"Mirs Bay","MM14","2021-12-16","1","Bottom Water","0.3","0.023","0.5","91","6.7","<1","<1","<0.002","<0.002","0.006","7.7","<0.2","33.9","3.6","0.24","1.5","21","0.03","0.52","0.52","<0.02","8.8","<0.001","<0.5"
"Mirs Bay","MM15","2021-01-27","1","Surface Water","0.7","0.014","3.5","73","5.8","<1","1","0.067","0.016","0.004","8","<0.2","32","5.4","0.68","<0.5","17.1","0.1","0.53","0.61","0.04","2.3","<0.001","<0.5"
"Mirs Bay","MM15","2021-01-27","1","Middle Water","0.9","0.016","3.5","84","6.7","<1","<1","0.035","0.016","0.003","8","<0.2","32","5.4","0.7","0.9","16.9","0.07","0.43","0.48","0.05","2.3","<0.001","0.6"
"Mirs Bay","MM15","2021-01-27","1","Bottom Water","0.5","0.038","4.1","117","9.3","<1","<1","0.014","0.003","0.004","7.9","<0.2","32.4","5.4","0.6","1.4","17.2","0.06","0.56","0.58","0.04","2.1","<0.001","0.8"
"Mirs Bay","MM15","2021-02-04","1","Surface Water","0.5","0.014","2.2","78","6.2","<1","<1","0.015","0.005","0.002","7.9","<0.2","32.1","4","0.54","5.4","17.8","0.03","0.61","0.63","0.04","5.7","<0.001","0.6"
"Mirs Bay","MM15","2021-02-04","1","Middle Water","0.8","0.024","4.6","85","6.8","<1","<1","0.016","0.004","0.004","7.9","<0.2","32.1","4","0.53","8.6","17.3","0.04","0.72","0.74","0.05","3.1","<0.001","1.5"
"Mirs Bay","MM15","2021-02-04","1","Bottom Water","0.7","0.015","2.1","129","10.2","<1","<1","0.016","0.005","0.004","7.8","<0.2","32.2","4","0.54","7.5","17.3","0.04","0.42","0.44","0.04","5.7","<0.001","1"
"Mirs Bay","MM15","2021-03-19","1","Surface Water","0.1","0.017","0.4","65","4.6","<1","<1","0.004","<0.002","0.007","7.9","<0.2","33.6","6.1","0.38","0.6","22.3","0.02","0.11","0.12","0.04","2.1","<0.001","<0.5"
"Mirs Bay","MM15","2021-03-19","1","Middle Water","0.2","0.022","0.5","84","6.1","<1","<1","0.002","<0.002","0.006","7.9","<0.2","33.6","6.1","0.39","1.3","21.9","0.03","0.11","0.11","0.04","2.1","<0.001","<0.5"
"Mirs Bay","MM15","2021-03-19","1","Bottom Water","1","0.027","1.4","67","4.9","<1","<1","<0.002","<0.002","0.008","7.8","<0.2","33.7","6.1","0.43","0.9","21.2","0.03","0.08","0.08","0.05","4.3","<0.001","<0.5"
"Mirs Bay","MM15","2021-04-22","1","Surface Water","0.3","0.03","1.5","72","4.9","<1","<1","0.002","<0.002","0.01","7.6","<0.2","33.6","2.8","0.45","2.1","24.9","0.03","0.67","0.67","0.05","4.2","<0.001","<0.5"
"Mirs Bay","MM15","2021-04-22","1","Middle Water","0.3","0.029","1.7","82","5.7","<1","<1","<0.002","<0.002","0.008","7.7","<0.2","34","2.8","0.31","2.5","23.6","0.03","0.47","0.47","0.05","3.7","<0.001","<0.5"
"Mirs Bay","MM15","2021-04-22","1","Bottom Water","0.2","0.03","1.1","68","4.8","<1","<1","<0.002","<0.002","0.009","7.6","<0.2","34","2.8","0.34","2.4","23.3","0.03","0.65","0.65","0.05","3.8","<0.001","<0.5"
"Mirs Bay","MM15","2021-05-24","1","Surface Water","0.6","0.024","1.8","91","5.7","<1","<1","<0.002","<0.002","0.004","7.6","<0.2","33.3","6","0.08","1","29.5","0.03","N/A","N/A","N/A","3.7","<0.001","0.5"
"Mirs Bay","MM15","2021-05-24","1","Middle Water","0.7","0.02","2.6","67","4.6","<1","<1","<0.002","<0.002","0.006","7.5","<0.2","34","6","0.09","1.2","24.4","0.02","N/A","N/A","N/A","2.8","<0.001","<0.5"
"Mirs Bay","MM15","2021-05-24","1","Bottom Water","0.3","0.02","1.8","51","3.7","<1","<1","0.038","0.012","0.01","7.5","<0.2","34.4","6","0.49","2.7","22.6","0.07","N/A","N/A","N/A","4","<0.001","0.8"
"Mirs Bay","MM15","2021-06-24","1","Surface Water","0.6","0.026","2.2","65","4.4","2","2","0.003","<0.002","0.006","7.6","0.3","33.5","4.2","0.35","1.5","26","0.03","N/A","N/A","N/A","2.7","<0.001","<0.5"
"Mirs Bay","MM15","2021-06-24","1","Middle Water","0.5","0.021","1.1","61","4.2","<1","1","0.01","0.026","0.008","7.5","<0.2","34.4","4.2","0.52","1.2","23.7","0.06","N/A","N/A","N/A","3.3","<0.001","<0.5"
"Mirs Bay","MM15","2021-06-24","1","Bottom Water","0.6","0.016","0.9","64","4.4","<1","<1","0.007","0.018","0.008","7.5","0.7","34.5","4.2","0.51","<0.5","23.5","0.04","N/A","N/A","N/A","6","<0.001","<0.5"
"Mirs Bay","MM15","2021-07-22","1","Surface Water","<0.1","0.032","0.5","80","5.2","2","10","0.006","<0.002","<0.002","7.5","0.4","31.5","9.6","0.28","2.5","29","0.04","N/A","N/A","N/A","2.6","<0.001","0.6"
"Mirs Bay","MM15","2021-07-22","1","Middle Water","<0.1","0.038","0.7","61","4","<1","<1","0.005","<0.002","0.004","7.5","<0.2","32.1","9.6","0.29","1.2","27.9","0.05","N/A","N/A","N/A","2.4","<0.001","0.5"
"Mirs Bay","MM15","2021-07-22","1","Bottom Water","<0.1","0.034","0.3","57","3.7","<1","<1","0.012","0.003","0.003","7.3","0.4","33.2","9.6","0.45","2","27.4","0.05","N/A","N/A","N/A","2.9","<0.001","0.7"
"Mirs Bay","MM15","2021-08-23","1","Surface Water","0.9","0.023","1.3","66","5.4","<1","1","<0.002","0.004","0.005","7.5","0.3","33.4","5.6","0.19","1.1","27.6","0.03","N/A","N/A","N/A","3","<0.001","<0.5"
"Mirs Bay","MM15","2021-08-23","1","Middle Water","0.6","0.02","5.8","53","3.9","<1","<1","0.04","<0.002","0.008","7.3","1.4","34.4","5.6","0.62","1.1","22.5","0.06","N/A","N/A","N/A","3.4","<0.001","<0.5"
"Mirs Bay","MM15","2021-08-23","1","Bottom Water","0.9","0.02","2.4","39","2.8","<1","<1","<0.002","<0.002","0.005","7.3","1","34.4","5.6","0.32","0.9","21.9","0.02","N/A","N/A","N/A","6.8","<0.001","<0.5"
"Mirs Bay","MM15","2021-09-29","1","Surface Water","0.6","0.033","0.7","82","5.2","<1","<1","0.068","<0.002","0.006","8.2","<0.2","32.8","11.3","0.26","0.6","30.1","0.1","N/A","N/A","N/A","7.5","0.003","0.5"
"Mirs Bay","MM15","2021-09-29","1","Middle Water","0.4","0.031","<0.2","93","5.9","<1","<1","0.018","<0.002","0.006","8.2","<0.2","32.8","11.3","0.24","<0.5","29.8","0.05","N/A","N/A","N/A","9.7","0.003","<0.5"
"Mirs Bay","MM15","2021-09-29","1","Bottom Water","0.3","0.028","1.1","76","4.9","<1","<1","0.02","<0.002","0.006","8.1","<0.2","32.9","11.3","0.24","1.2","29.3","0.05","N/A","N/A","N/A","6.2","0.002","1.1"
"Mirs Bay","MM15","2021-10-27","1","Surface Water","0.4","0.02","0.9","93","6.3","<1","1","0.012","0.027","0.007","8","<0.2","33.1","3","0.64","2.1","25.9","0.06","N/A","N/A","N/A","12.7","<0.001","0.6"
"Mirs Bay","MM15","2021-10-27","1","Middle Water","0.5","0.022","1","90","6.1","<1","<1","0.013","0.028","0.009","8","<0.2","33.1","3","0.61","2.3","25.9","0.06","N/A","N/A","N/A","5.8","<0.001","0.6"
"Mirs Bay","MM15","2021-10-27","1","Bottom Water","0.2","0.023","0.9","90","6.1","<1","<1","0.013","0.028","0.007","8","<0.2","33.1","3","0.64","2.4","25.9","0.06","N/A","N/A","N/A","5.6","0.001","0.6"
"Mirs Bay","MM15","2021-11-25","1","Surface Water","0.6","0.035","1.1","87","6.1","90","100","0.01","0.003","0.009","7.6","0.3","33.6","1.9","0.4","6.2","23","0.05","0.39","0.4","0.02","9.2","<0.001","1"
"Mirs Bay","MM15","2021-11-25","1","Middle Water","0.6","0.033","0.8","87","6.2","<1","<1","0.008","0.003","0.008","7.6","<0.2","33.6","1.9","0.45","5.8","23.1","0.04","0.4","0.41","0.02","8.4","<0.001","0.8"
"Mirs Bay","MM15","2021-11-25","1","Bottom Water","1.3","0.033","1","89","6.3","<1","<1","0.012","0.003","0.008","7.6","<0.2","33.6","1.9","0.4","5.6","23.1","0.05","0.51","0.53","0.03","9.2","<0.001","0.8"
"Mirs Bay","MM15","2021-12-16","1","Surface Water","0.3","0.021","0.8","82","5.9","<1","6","<0.002","<0.002","0.006","7.7","<0.2","34.1","3.1","0.32","1.3","21.9","0.03","0.67","0.67","<0.02","7.2","<0.001","0.5"
"Mirs Bay","MM15","2021-12-16","1","Middle Water","0.3","0.025","0.3","92","6.7","<1","<1","<0.002","<0.002","0.007","7.7","0.2","34","3.1","0.44","2.9","21.4","0.03","0.8","0.8","0.04","5.5","<0.001","<0.5"
"Mirs Bay","MM15","2021-12-16","1","Bottom Water","0.4","0.026","0.3","93","6.8","<1","<1","<0.002","<0.002","0.005","7.7","0.2","33.8","3.1","0.36","8.3","21","0.03","0.3","0.3","0.02","6.6","<0.001","1.3"
"Mirs Bay","MM16","2021-01-27","1","Surface Water","1.9","0.014","4.2","78","6.2","<1","1","0.072","0.017","0.003","8.1","<0.2","31.7","4.6","0.66","1","17.3","0.1","0.67","0.76","0.04","2.9","<0.001","0.5"
"Mirs Bay","MM16","2021-01-27","1","Middle Water","1.2","0.038","9.7","83","6.6","<1","<1","<0.002","0.003","<0.002","8","<0.2","31.9","4.6","0.6","<0.5","17.1","0.04","0.35","0.36","0.04","2.3","<0.001","<0.5"
"Mirs Bay","MM16","2021-01-27","1","Bottom Water","0.8","0.023","3.3","121","9.6","<1","<1","0.054","0.015","0.009","7.9","<0.2","32.2","4.6","0.64","0.5","17","0.09","0.45","0.52","0.04","3.4","<0.001","<0.5"
"Mirs Bay","MM16","2021-02-04","1","Surface Water","0.6","0.015","1","84","6.6","<1","<1","<0.002","0.003","0.002","8","<0.2","31.8","7.1","0.52","5.1","17.9","0.02","0.7","0.71","0.04","5.1","<0.001","0.9"
"Mirs Bay","MM16","2021-02-04","1","Middle Water","0.6","0.012","1.1","86","6.8","<1","<1","<0.002","0.004","0.005","7.9","<0.2","32","7.1","0.54","6.5","17.4","0.02","0.58","0.59","0.04","2.7","<0.001","0.9"
"Mirs Bay","MM16","2021-02-04","1","Bottom Water","0.4","0.014","1","85","6.7","<1","<1","<0.002","0.004","<0.002","7.9","<0.2","32.1","7.1","0.53","5.7","17.4","0.02","0.61","0.62","0.04","2.7","<0.001","0.8"
"Mirs Bay","MM16","2021-03-19","1","Surface Water","0.4","0.02","0.5","75","5.4","<1","<1","<0.002","<0.002","0.006","8","<0.2","32.5","5.2","0.72","<0.5","22","0.02","0.08","0.08","0.04","39.6","<0.001","<0.5"
"Mirs Bay","MM16","2021-03-19","1","Middle Water","0.3","0.02","0.6","84","6.1","<1","<1","<0.002","<0.002","0.005","7.9","<0.2","33.4","5.2","0.7","2","21.6","0.02","0.08","0.08","0.04","2.2","<0.001","0.5"
"Mirs Bay","MM16","2021-03-19","1","Bottom Water","0.2","0.018","0.3","70","5.1","<1","<1","0.004","<0.002","0.007","7.8","<0.2","33.7","5.2","0.46","0.6","21.4","0.02","0.1","0.11","0.04","5.7","<0.001","<0.5"
"Mirs Bay","MM16","2021-04-22","1","Surface Water","0.5","0.019","1.1","69","4.8","<1","3","<0.002","<0.002","0.008","7.7","<0.2","33.6","2.7","0.6","2","24.5","0.02","0.79","0.79","0.05","3.3","<0.001","<0.5"
"Mirs Bay","MM16","2021-04-22","1","Middle Water","0.5","0.03","2.6","74","5.2","<1","<1","<0.002","<0.002","0.007","7.6","<0.2","33.6","2.7","0.59","2","23.6","0.03","0.68","0.68","0.05","3.8","<0.001","<0.5"
"Mirs Bay","MM16","2021-04-22","1","Bottom Water","0.2","0.03","1.4","71","4.9","<1","<1","<0.002","<0.002","0.01","7.6","<0.2","33.9","2.7","0.44","1.3","23.6","0.03","0.36","0.36","0.05","4.6","<0.001","<0.5"
"Mirs Bay","MM16","2021-05-24","1","Surface Water","0.3","0.026","0.3","97","6.2","1","1","0.003","<0.002","0.006","7.6","<0.2","33.6","7.5","0.61","<0.5","29.5","0.03","N/A","N/A","N/A","3.4","<0.001","<0.5"
"Mirs Bay","MM16","2021-05-24","1","Middle Water","0.4","0.024","1.1","68","4.7","<1","<1","<0.002","<0.002","0.006","7.6","<0.2","34.2","7.5","0.38","0.7","24.5","0.03","N/A","N/A","N/A","2.2","<0.001","0.7"
"Mirs Bay","MM16","2021-05-24","1","Bottom Water","0.2","0.023","1.9","56","4","<1","<1","0.031","0.013","0.01","7.5","0.4","34.3","7.5","0.56","4.1","23","0.07","N/A","N/A","N/A","4.8","<0.001","1"
"Mirs Bay","MM16","2021-06-24","1","Surface Water","0.7","0.028","2.6","72","4.9","2","4","0.004","<0.002","0.005","7.7","<0.2","33.8","3.5","0.45","1.6","25.6","0.03","N/A","N/A","N/A","3.9","<0.001","0.5"
"Mirs Bay","MM16","2021-06-24","1","Middle Water","0.7","0.019","0.7","59","4.1","<1","1","0.005","0.011","0.008","7.5","1.1","34.3","3.5","0.52","1.3","24.1","0.04","N/A","N/A","N/A","2.7","<0.001","<0.5"
"Mirs Bay","MM16","2021-06-24","1","Bottom Water","0.3","0.015","0.3","57","3.9","<1","1","0.011","0.031","0.012","7.5","0.6","34.4","3.5","0.56","2","23.6","0.06","N/A","N/A","N/A","6.6","<0.001","<0.5"
"Mirs Bay","MM16","2021-07-22","1","Surface Water","0.2","0.032","1.4","78","5.4","<1","6","0.005","<0.002","<0.002","7.6","0.6","30.4","8.4","0.2","3.1","29.5","0.04","N/A","N/A","N/A","3","<0.001","1.1"
"Mirs Bay","MM16","2021-07-22","1","Middle Water","<0.1","0.038","1.4","59","3.8","<1","1","0.007","<0.002","<0.002","7.5","<0.2","31.6","8.4","0.32","1.2","28.1","0.05","N/A","N/A","N/A","2.3","<0.001","<0.5"
"Mirs Bay","MM16","2021-07-22","1","Bottom Water","<0.1","0.035","0.3","58","3.8","<1","<1","0.006","<0.002","0.003","7.4","0.2","32.8","8.4","0.32","2","27.4","0.04","N/A","N/A","N/A","2.7","<0.001","0.7"
"Mirs Bay","MM16","2021-08-23","1","Surface Water","0.9","0.018","1.3","70","4.7","<1","<1","<0.002","<0.002","0.003","7.6","0.8","33.1","4","0.17","0.5","29.4","0.02","N/A","N/A","N/A","3.5","<0.001","<0.5"
"Mirs Bay","MM16","2021-08-23","1","Middle Water","0.8","0.019","0.8","60","4.1","<1","<1","0.003","<0.002","0.005","7.4","0.7","34.2","4","0.37","1","23.9","0.02","N/A","N/A","N/A","2.4","<0.001","0.5"
