"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2019-01-09","1","Surface Water","1.5","0.59","4.5","73","6.1","490","950","2.7","0.13","0.14","7.3","4.2","19.4","1","6.4","36","18.9","3.42","1.2","4.03","0.22","21.9","0.004","6.4"
"Deep Bay","DM1","2019-02-23","1","Surface Water","3.8","0.51","5","63","5.1","640","1000","1.8","0.16","0.13","7.3","16","16.6","0.9","4.8","360","21.3","2.47","1.7","3.66","0.74","134.4","0.004","41"
"Deep Bay","DM1","2019-03-08","1","Surface Water","1.3","0.69","1.1","72","5.9","6800","13000","1.6","0.11","0.17","7.4","2.4","15.9","1.3","5.1","42","20.1","2.4","1.1","2.81","0.22","20.2","0.006","7.2"
"Deep Bay","DM1","2019-04-24","1","Surface Water","3.2","1.1","6.1","56","4.2","2600","3400","1","0.28","0.17","7.5","5.2","9.1","0.7","3.7","53","27.9","2.38","2","3.28","0.29","27.9","0.025","14"
"Deep Bay","DM1","2019-05-23","1","Surface Water","1.9","0.28","9.9","74","5.4","1100","2200","1.1","0.13","0.14","7.7","7.6","12.4","1","1.6","66","28.3","1.51","0.91","2.14","0.27","42.7","0.01","9.4"
"Deep Bay","DM1","2019-06-24","1","Surface Water","2.6","0.58","2.3","62","4.6","240","490","1.3","0.67","0.23","7.5","8.5","4.7","1","13","40","29.9","2.55","1.1","3.07","0.31","28.3","0.016","6.5"
"Deep Bay","DM1","2019-07-19","1","Surface Water","2","0.058","6.4","74","5.2","88","250","1.3","0.54","0.19","7.8","8.1","4.6","1","11","25","32.6","1.9","0.65","2.49","0.28","17.4","0.004","5.4"
"Deep Bay","DM1","2019-08-02","1","Surface Water","1.6","0.93","1.2","55","4.3","59000","130000","0.77","0.12","0.11","7.3","2.8","4.3","0.9","7.3","21","26.9","1.82","1.6","2.49","0.17","27.6","0.012","3.2"
"Deep Bay","DM1","2019-09-16","1","Surface Water","1.1","0.25","5.1","86","5.9","580","1700","0.98","0.15","0.15","7.3","4.9","13","1.3","7.7","17","31.4","1.38","0.55","1.68","0.21","14","0.005","2.9"
"Deep Bay","DM1","2019-10-16","1","Surface Water","0.6","0.31","4","77","5.4","78","290","1.2","0.13","0.16","7.5","<0.2","19.6","1","6.5","21","27.8","1.64","0.68","2.01","0.21","16.1","0.006","2.8"
