"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM3","2020-11-16","1","Surface Water","1.1","0.036","4","97","7","<1","3","0.37","0.025","0.047","7.8","1.7","29.3","1.6","0.47","22","23.6","0.43","0.37","0.77","0.14","9.2","<0.001","3.4"
"Deep Bay","DM3","2020-12-02","1","Surface Water","0.4","0.098","1.3","90","6.7","5","9","0.71","0.048","0.077","7.6","0.3","28","1.9","1.9","14","21.5","0.86","0.46","1.22","0.13","9.5","0.002","2.3"
"Deep Bay","DM4","2020-01-11","1","Surface Water","0.7","0.18","2.1","87","6.6","400","530","0.68","0.055","0.039","8.1","1.2","26.6","2","2.7","11","21.3","0.92","0.49","1.23","0.07","5.3","0.007","2"
"Deep Bay","DM4","2020-01-11","1","Bottom Water","0.7","0.17","0.8","85","6.5","600","960","0.68","0.049","0.04","8.1","2.9","27.1","2","2.7","17","21.1","0.9","0.29","1.02","0.08","4.8","0.007","3.5"
"Deep Bay","DM4","2020-04-08","1","Surface Water","0.2","0.18","0.7","72","5.7","290","590","0.81","0.048","0.036","7.5","0.7","20.9","1.7","3.6","17","21.2","1.04","0.44","1.3","0.06","7.4","0.002","2.7"
"Deep Bay","DM4","2020-04-08","1","Bottom Water","0.2","0.18","0.3","67","5.2","190","410","0.81","0.049","0.036","7.5","1.2","22.4","1.7","3.7","20","21","1.04","0.37","1.23","0.05","10.1","0.002","3.5"
"Deep Bay","DM4","2020-05-08","1","Surface Water","0.8","0.12","5","80","5.6","29","67","0.76","0.031","0.025","7.8","2.4","20.2","1.2","3.5","10","27.5","0.91","0.32","1.11","0.04","7.4","0.004","1.6"
"Deep Bay","DM4","2020-05-08","1","Bottom Water","0.9","0.12","3","76","5.4","40","100","0.79","0.031","0.009","7.8","2.3","20.4","1.2","4.1","16","27.4","0.94","0.33","1.15","0.06","10.5","0.004","2"
"Deep Bay","DM4","2020-06-11","1","Surface Water","0.5","0.02","0.9","99","7.5","800","2500","1.4","0.1","0.038","7.4","1.4","3.4","1","8.8","15","28.7","1.52","0.3","1.8","0.06","17.5","<0.001","2.4"
"Deep Bay","DM4","2020-06-11","1","Bottom Water","0.5","0.016","0.8","60","4.6","1000","3700","1.4","0.1","0.039","7.3","1.4","4.1","1","9.2","16","28.3","1.52","0.31","1.81","0.06","17.3","<0.001","2.9"
"Deep Bay","DM4","2020-07-06","1","Surface Water","0.8","0.025","2.2","78","5.5","30","240","1","0.074","0.042","7.8","1.5","12.9","1.2","7.5","13","29.9","1.1","0.14","1.21","0.07","9.4","0.001","2.2"
"Deep Bay","DM4","2020-07-06","1","Bottom Water","0.7","0.028","2","68","4.8","38","280","0.94","0.079","0.033","7.8","2.1","13","1.2","6.9","12","29.7","1.05","0.13","1.15","0.07","10.9","0.001","2.2"
"Deep Bay","DM4","2020-09-19","1","Surface Water","0.7","0.14","2","83","5.6","60","200","0.78","0.17","0.055","7.5","<0.2","21.6","1.4","4.7","17","29.4","1.09","0.28","1.23","0.09","7.8","0.003","3.4"
"Deep Bay","DM4","2020-09-19","1","Bottom Water","0.8","0.14","1.3","70","4.7","110","360","0.21","0.16","0.05","7.5","0.7","21.7","1.4","1.5","13","29.4","0.51","0.17","0.54","0.1","7.7","0.003","2.6"
"Deep Bay","DM4","2020-10-17","1","Surface Water","0.2","0.082","2","84","5.7","4","17","0.29","0.038","0.035","7.9","1.3","29.1","1.6","1.3","6.6","27","0.41","0.55","0.88","0.08","7.1","0.004","0.8"
"Deep Bay","DM4","2020-10-17","1","Bottom Water","0.3","0.08","1.4","80","5.4","4","8","0.29","0.039","0.034","7.9","1.4","29.1","1.6","1.3","5.9","27","0.41","0.42","0.75","0.08","6.6","0.004","1.1"
"Deep Bay","DM4","2020-11-16","1","Surface Water","0.8","0.073","2.5","93","6.6","3","4","0.27","0.025","0.027","7.8","1.5","30.6","1.8","0.34","24","24.3","0.37","0.5","0.8","0.07","7.2","0.002","3.8"
"Deep Bay","DM4","2020-11-16","1","Bottom Water","0.9","0.075","2.8","93","6.6","15","28","0.26","0.027","0.028","7.8","1","30.8","1.8","0.41","19","24","0.36","0.44","0.73","0.08","7.1","0.002","3.8"
"Deep Bay","DM5","2020-01-11","1","Surface Water","0.6","0.18","1.5","91","6.9","410","690","0.53","0.048","0.032","8.1","1","28.1","1.9","2.1","11","21.1","0.76","0.47","1.05","0.06","5.1","0.007","1.9"
"Deep Bay","DM5","2020-01-11","1","Middle Water","0.5","0.16","1.1","82","6.2","900","1500","0.45","0.04","0.033","8.1","0.9","28.9","1.9","2.1","12","20.8","0.65","0.6","1.09","0.07","3.6","0.006","2.1"
"Deep Bay","DM5","2020-01-11","1","Bottom Water","0.7","0.16","0.7","82","6.2","810","900","0.42","0.037","0.032","8.1","1.1","29.5","1.9","2","15","20.7","0.62","0.51","0.97","0.06","4.7","0.006","2.5"
"Deep Bay","DM5","2020-04-08","1","Surface Water","0.3","0.17","0.9","68","5.3","44","120","0.71","0.043","0.033","7.6","0.5","23.3","1.5","3.2","17","21.3","0.92","0.55","1.3","0.05","7.6","0.002","3.2"
"Deep Bay","DM5","2020-04-08","1","Middle Water","0.3","0.17","0.5","78","6","110","210","0.66","0.04","0.028","7.6","1.3","24.3","1.5","3","17","21.2","0.87","0.51","1.21","0.05","11","0.002","3"
"Deep Bay","DM5","2020-04-08","1","Bottom Water","0.3","0.17","0.5","80","6.1","230","410","0.65","0.039","0.022","7.6","1.4","25.9","1.5","3","18","21","0.86","0.6","1.29","0.05","13.2","0.002","4.6"
"Deep Bay","DM5","2020-05-08","1","Surface Water","0.7","0.15","2.5","85","5.9","19","47","0.61","0.025","0.018","7.5","1.2","23.5","1.7","2.8","7.8","26.8","0.79","0.2","0.84","0.04","5.2","0.003","1.4"
"Deep Bay","DM5","2020-05-08","1","Middle Water","0.6","0.13","2.2","83","5.8","62","90","0.59","0.025","0.016","7.8","1.4","23.7","1.7","2.8","7.2","26.6","0.75","0.22","0.84","0.04","6.3","0.005","1.2"
"Deep Bay","DM5","2020-05-08","1","Bottom Water","0.6","0.12","2.2","82","5.8","58","130","0.6","0.024","0.016","7.9","1.1","24","1.7","2.9","7","26.5","0.74","0.18","0.8","0.04","5.5","0.004","1.5"
"Deep Bay","DM5","2020-06-11","1","Surface Water","0.7","0.014","1.7","82","6.3","310","1100","1.4","0.037","0.028","7.6","1.8","0.6","1","9.3","33","29","1.45","0.41","1.85","0.07","41","<0.001","4.6"
"Deep Bay","DM5","2020-06-11","1","Middle Water","0.4","0.015","1.2","59","4.4","3100","9300","1.4","0.057","0.029","7.2","1.7","5.8","1","9.9","31","28","1.47","0.32","1.78","0.07","15","<0.001","4.3"
"Deep Bay","DM5","2020-06-11","1","Bottom Water","0.6","<0.005","0.8","36","2.6","3300","9600","1.2","0.1","0.029","7.7","1.6","20.2","1","7.7","18","26.9","1.31","0.24","1.54","0.06","7.2","<0.001","2.5"
"Deep Bay","DM5","2020-07-06","1","Surface Water","0.7","0.013","2.6","103","7.3","12","93","0.96","0.068","0.037","8.1","1","14.8","1.8","6.8","6.4","29.3","1.04","0.1","1.13","0.05","5.9","0.001","1.3"
"Deep Bay","DM5","2020-07-06","1","Middle Water","0.8","0.017","2.3","76","5.4","28","100","0.95","0.066","0.038","8.1","1","15.1","1.8","6.9","6.6","29.1","1.03","0.07","1.09","0.05","6.1","0.001","1.6"
"Deep Bay","DM5","2020-07-06","1","Bottom Water","0.7","0.011","2.3","75","5.3","110","270","0.94","0.067","0.036","8","1.3","17.5","1.8","6.5","7.5","28.5","1.02","0.11","1.12","0.05","4.7","<0.001","1.4"
"Deep Bay","DM5","2020-09-19","1","Surface Water","0.7","0.082","1.2","82","5.5","44","95","0.56","0.14","0.032","7.6","0.9","24.5","1.4","4","15","28.9","0.78","0.24","0.94","0.07","9.8","0.002","2.4"
"Deep Bay","DM5","2020-09-19","1","Middle Water","0.6","0.089","1.3","67","4.5","70","130","0.49","0.12","0.031","7.6","0.8","25","1.4","3.2","21","28.7","0.7","0.28","0.89","0.08","10.5","0.002","4"
"Deep Bay","DM5","2020-09-19","1","Bottom Water","0.6","0.084","1.3","72","4.8","60","180","0.51","0.13","0.034","7.7","0.9","25.6","1.4","2.8","20","28.6","0.72","0.14","0.78","0.07","10","0.002","3.4"
"Deep Bay","DM5","2020-10-17","1","Surface Water","0.4","0.064","3","99","6.6","5","17","0.14","0.025","0.016","8","1.3","31.1","1.7","0.69","7.5","27.1","0.23","0.87","1.04","0.07","7","0.004","1.5"
"Deep Bay","DM5","2020-10-17","1","Middle Water","0.4","0.065","3","84","5.6","8","20","0.14","0.025","0.017","8","1.2","31.1","1.7","0.69","6.6","27.2","0.23","1.3","1.47","0.07","7.4","0.004","1.2"
"Deep Bay","DM5","2020-10-17","1","Bottom Water","0.4","0.074","2.9","88","5.9","20","49","0.13","0.024","0.019","8","1.7","31.3","1.7","0.68","6.8","27.2","0.23","0.75","0.9","0.09","6.9","0.004","1.2"
"Deep Bay","DM5","2020-11-16","1","Surface Water","0.9","0.065","3.8","97","6.8","10","33","0.15","0.023","0.011","7.9","1.3","31.6","2.1","0.33","23","24.1","0.24","0.41","0.58","0.08","8.1","0.002","3.6"
"Deep Bay","DM5","2020-11-16","1","Middle Water","1.1","0.061","3.6","98","6.9","21","44","0.16","0.024","0.012","7.9","1.2","31.6","2.1","0.35","23","23.7","0.25","0.75","0.93","0.06","7.8","0.002","4.2"
"Deep Bay","DM5","2020-11-16","1","Bottom Water","0.9","0.074","3.3","100","7","14","40","0.17","0.024","0.01","7.9","1.9","31.6","2.1","0.34","16","23.6","0.27","0.48","0.67","0.06","8.6","0.002","2.5"
"Eastern Buffer","EM1","2020-01-06","1","Surface Water","0.4","0.061","1.4","93","7","3","11","0.13","0.012","0.022","8.2","0.7","32.3","3.7","1","2.3","19.7","0.2","0.47","0.61","0.06","0.9","0.003","0.7"
"Eastern Buffer","EM1","2020-01-06","1","Middle Water","0.3","0.044","1.2","93","7","7","32","0.11","0.011","0.017","8.2","0.8","32.4","3.7","0.94","2.6","19.6","0.17","0.46","0.58","0.05","0.8","0.002","0.8"
"Eastern Buffer","EM1","2020-01-06","1","Bottom Water","0.5","0.06","1.4","97","7.3","12","17","0.12","0.012","0.02","8.2","0.3","32.4","3.7","1","2","19.6","0.19","0.42","0.55","0.05","0.8","0.003","0.7"
"Eastern Buffer","EM1","2020-03-12","1","Surface Water","0.5","0.038","1.9","84","6.4","60","130","0.016","0.005","0.011","8.1","1.5","33","3","0.59","3.3","19.2","0.06","0.31","0.33","0.04","1.2","0.001","1.3"
"Eastern Buffer","EM1","2020-03-12","1","Middle Water","0.5","0.044","2.2","95","7.2","150","230","0.019","0.006","0.011","8.1","1.7","33.1","3","0.61","3.2","19.2","0.07","0.75","0.78","0.03","1.1","0.002","1.2"
"Eastern Buffer","EM1","2020-03-12","1","Bottom Water","0.6","0.026","2.1","97","7.3","49","100","0.012","0.005","0.01","8.1","1.3","33.1","3","0.54","2.8","19.2","0.04","0.66","0.68","0.03","1.4","0.001","1"
"Eastern Buffer","EM1","2020-04-24","1","Surface Water","0.5","0.081","0.9","91","6.5","29","60","<0.002","0.003","0.01","7.7","<0.2","33.4","2.8","0.31","10","22.1","0.09","0.59","0.6","0.03","1.9","0.001","1.4"
"Eastern Buffer","EM1","2020-04-24","1","Middle Water","0.6","0.058","<0.2","88","6.3","33","49","0.023","0.005","0.017","7.7","<0.2","33.6","2.8","0.32","9.7","22.2","0.09","0.57","0.6","0.02","2.2","0.001","1.2"
"Eastern Buffer","EM1","2020-04-24","1","Bottom Water","0.5","0.063","0.3","92","6.6","23","54","0.019","0.004","0.011","7.7","<0.2","33.8","2.8","0.3","5.3","22.3","0.09","0.27","0.29","0.02","4.1","0.001","1.2"
"Eastern Buffer","EM1","2020-05-14","1","Surface Water","1.7","0.018","5.2","95","6.4","<1","3","0.032","0.003","0.004","8.1","2.9","31.7","3.3","<0.05","7.2","25.9","0.05","0.5","0.54","<0.02","1.3","<0.001","1.9"
"Eastern Buffer","EM1","2020-05-14","1","Middle Water","1.6","0.028","6.5","112","7.7","25","49","0.029","0.002","0.004","8","2.7","32.2","3.3","<0.05","11","25.4","0.06","0.21","0.24","<0.02","2.1","0.001","2.6"
"Eastern Buffer","EM1","2020-05-14","1","Bottom Water","1.3","0.024","8","94","6.5","10","27","0.035","0.003","0.005","7.9","2.6","33","3.3","<0.05","15","24.4","0.06","0.45","0.49","<0.02","3.2","<0.001","4.2"
"Eastern Buffer","EM1","2020-06-12","1","Surface Water","1","0.035","6.3","97","6.6","90","380","0.19","0.031","0.003","7.8","2.5","29.8","2.2","1.8","2.9","26.4","0.26","0.47","0.69","0.04","1.9","0.001","1.4"
"Eastern Buffer","EM1","2020-06-12","1","Middle Water","0.7","0.022","4.3","75","5.2","110","320","0.15","0.058","0.012","7.8","2.1","33.2","2.2","1.3","2.8","24","0.23","0.2","0.41","0.03","2.5","<0.001","1.1"
"Eastern Buffer","EM1","2020-06-12","1","Bottom Water","0.4","0.019","2.1","66","4.6","71","140","0.081","0.045","<0.002","7.9","1.8","34.2","2.2","1","4.6","23","0.15","0.17","0.3","0.03","3.3","<0.001","1.2"
"Eastern Buffer","EM1","2020-07-11","1","Surface Water","2.3","0.061","21","98","6.7","4","22","0.08","0.024","0.006","7.4","3.3","30.6","2.5","0.52","15","25.7","0.17","0.51","0.61","0.07","2.7","<0.001","3.8"
"Eastern Buffer","EM1","2020-07-11","1","Middle Water","1.2","0.058","7.4","102","7.2","33","66","0.073","0.025","0.013","7.8","1.2","34","2.5","0.73","18","22.3","0.16","0.17","0.27","0.05","2.2","0.001","3.6"
"Eastern Buffer","EM1","2020-07-11","1","Bottom Water","0.8","0.058","2.5","64","4.6","17","46","0.047","0.019","0.016","8","1.2","34.4","2.5","0.67","14","21.5","0.12","0.07","0.14","0.07","3.6","0.002","2.8"
"Eastern Buffer","EM1","2020-08-27","1","Surface Water","0.6","0.11","3.1","74","4.9","46","120","0.23","0.061","0.026","7.9","1.6","29.8","3.3","1.5","3.8","28.3","0.4","1.5","1.79","0.15","1.7","0.004","1.1"
"Eastern Buffer","EM1","2020-08-27","1","Middle Water","0.7","0.066","3.2","77","5.2","62","210","0.11","0.056","0.022","7.8","2.7","32.4","3.3","1.2","3","26.4","0.23","0.97","1.14","0.06","3","0.002","0.8"
"Eastern Buffer","EM1","2020-08-27","1","Bottom Water","0.6","0.046","2.2","58","4","59","110","0.079","0.058","0.022","7.8","2.2","33.9","3.3","1.2","4.2","24.9","0.18","0.32","0.46","0.06","5.8","0.001","1"
"Eastern Buffer","EM1","2020-09-12","1","Surface Water","0.8","0.28","2","107","7.1","200","520","0.15","0.044","0.035","7.8","0.3","31","3.8","1.8","3","27.4","0.47","0.83","1.02","0.09","2.2","0.009","1"
"Eastern Buffer","EM1","2020-09-12","1","Middle Water","0.8","0.2","1.6","52","3.5","120","260","0.1","0.031","0.03","7.8","<0.2","32.2","3.8","1.6","5.2","26.7","0.33","0.6","0.73","0.07","2.9","0.007","1.3"
"Eastern Buffer","EM1","2020-09-12","1","Bottom Water","0.6","0.12","0.6","53","3.5","110","280","0.069","0.027","0.021","7.8","0.8","33","3.8","1.4","4.8","26.1","0.22","0.8","0.9","0.11","3.4","0.004","1"
"Eastern Buffer","EM1","2020-10-10","1","Surface Water","0.3","0.027","1.8","82","5.3","34","75","0.029","0.008","0.01","8.1","0.9","32.6","3.1","0.58","9.7","28.1","0.06","0.08","0.12","0.05","4.7","0.002","2.1"
"Eastern Buffer","EM1","2020-10-10","1","Middle Water","0.3","0.024","1.5","90","5.9","80","140","0.023","0.006","0.009","8.1","1.2","32.7","3.1","0.57","11","28.1","0.05","0.17","0.2","0.06","3.5","0.002","2.3"
"Eastern Buffer","EM1","2020-10-10","1","Bottom Water","0.4","0.016","1.3","94","6.1","34","74","0.012","0.004","0.006","8.1","3.8","32.8","3.1","0.54","45","28","0.03","0.16","0.18","0.07","3.6","0.001","7.5"
"Eastern Buffer","EM1","2020-11-07","1","Surface Water","1","0.019","7.9","85","5.9","14","19","0.091","0.019","0.013","7.9","1.3","33","3.4","0.63","1.8","24.2","0.13","0.35","0.46","0.04","4","<0.001","0.9"
"Eastern Buffer","EM1","2020-11-07","1","Middle Water","0.9","0.022","5.9","97","6.7","51","100","0.093","0.018","0.014","7.9","0.8","33","3.4","0.68","2.4","24.1","0.13","0.52","0.63","0.04","3.5","<0.001","0.9"
"Eastern Buffer","EM1","2020-11-07","1","Bottom Water","0.8","0.027","5.5","98","6.8","36","63","0.094","0.017","0.013","7.9","0.8","32.9","3.4","0.77","2.5","24","0.14","0.79","0.9","0.04","3.9","<0.001","0.7"
"Eastern Buffer","EM2","2020-01-06","1","Surface Water","0.6","0.076","1.3","87","6.6","22","41","0.14","0.012","0.022","8.2","0.6","32.2","2.7","1.1","1.6","19.8","0.23","0.34","0.49","0.06","1","0.003","0.6"
"Eastern Buffer","EM2","2020-01-06","1","Middle Water","0.4","0.043","0.8","95","7.2","61","94","0.1","0.011","0.016","8.2","0.8","32.4","2.7","0.89","2.6","19.6","0.15","0.63","0.74","0.07","1.4","0.002","0.7"
"Eastern Buffer","EM2","2020-01-06","1","Bottom Water","0.4","0.028","1.3","97","7.3","5","9","0.083","0.01","0.012","8.2","0.3","32.5","2.7","0.79","3.2","19.5","0.12","0.38","0.47","0.05","1.9","0.001","0.7"
"Eastern Buffer","EM2","2020-02-27","1","Surface Water","0.5","0.042","2.7","93","7.1","27","43","0.02","0.006","0.003","8.3","0.9","33.1","3","0.66","10","19","0.07","0.69","0.72","0.03","2.8","0.002","1.7"
"Eastern Buffer","EM2","2020-02-27","1","Middle Water","0.4","0.041","2","97","7.4","39","60","<0.002","0.003","0.007","8.3","1.5","33.2","3","0.66","7","19","0.05","0.47","0.48","0.03","1","0.002","1"
"Eastern Buffer","EM2","2020-02-27","1","Bottom Water","0.6","0.037","2.4","100","7.6","6","13","0.013","0.005","0.007","8.3","0.8","33.3","3","0.63","13","19","0.06","0.61","0.63","0.03","1.2","0.002","1.8"
"Eastern Buffer","EM2","2020-03-12","1","Surface Water","0.7","0.028","4","88","6.7","25","34","0.009","0.005","0.008","8.2","1.3","33.1","3.1","0.53","2.3","19","0.04","0.42","0.43","0.03","1.6","0.001","0.8"
"Eastern Buffer","EM2","2020-03-12","1","Middle Water","0.6","0.02","2.5","97","7.4","6","13","<0.002","0.003","0.011","8.2","1.3","33.1","3.1","0.48","3.1","19.1","0.03","0.28","0.29","0.03","1.2","<0.001","1.2"
"Eastern Buffer","EM2","2020-03-12","1","Bottom Water","0.6","0.016","2.9","99","7.5","7","8","0.002","0.003","0.01","8.2","1.5","33.1","3.1","0.48","9.5","19.1","0.02","0.23","0.24","0.02","1.5","<0.001","2.1"
"Eastern Buffer","EM2","2020-04-24","1","Surface Water","0.5","0.046","0.2","96","6.9","38","72","0.015","0.004","0.017","7.8","<0.2","33.5","3","0.29","7.9","22.2","0.07","0.84","0.86","0.02","5.4","0.001","1.1"
"Eastern Buffer","EM2","2020-04-24","1","Middle Water","0.5","0.043","<0.2","90","6.4","44","82","0.01","0.004","0.009","7.8","<0.2","33.7","3","0.29","7.4","22.2","0.06","0.33","0.34","0.02","2.6","0.001","1.1"
"Eastern Buffer","EM2","2020-04-24","1","Bottom Water","0.4","0.041","0.2","94","6.7","50","90","<0.002","0.005","0.012","7.8","<0.2","33.9","3","0.33","8.7","22.3","0.05","0.28","0.29","0.02","3.8","<0.001","1.1"
"Eastern Buffer","EM2","2020-05-14","1","Surface Water","1.7","0.015","4.4","91","6.1","1","3","0.05","0.004","0.006","8","2","31.6","3.1","<0.05","9.3","26.1","0.07","0.45","0.5","<0.02","1.3","<0.001","2.3"
"Eastern Buffer","EM2","2020-05-14","1","Middle Water","1.4","0.019","4.2","111","7.6","5","22","0.03","0.003","0.003","8","2.2","32.1","3.1","<0.05","12","25.6","0.05","0.33","0.36","<0.02","2","<0.001","2.8"
"Eastern Buffer","EM2","2020-05-14","1","Bottom Water","1.3","0.023","7.8","84","5.8","16","57","0.035","0.003","0.004","7.8","2.8","33.5","3.1","<0.05","14","23.9","0.06","0.26","0.3","<0.02","4.5","<0.001","3.4"
"Eastern Buffer","EM2","2020-06-12","1","Surface Water","1.1","0.034","5.5","93","6.3","170","280","0.28","0.073","0.01","7.9","2.4","29.6","2.4","1.8","2.4","26.7","0.39","0.42","0.77","0.04","1.9","0.001","1.3"
