"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2020-01-11","1","Surface Water","1.4","0.3","8.9","99","7.8","790","900","1.6","0.084","0.13","7.7","6.1","20.1","1.1","5.4","36","21.2","1.98","0.82","2.5","0.22","22.1","0.005","6.5"
"Deep Bay","DM1","2020-04-08","1","Surface Water","3.1","0.61","2.5","66","5.3","660","1200","1.6","0.11","0.13","7.3","3.3","18","1.2","6.2","32","20.8","2.32","0.9","2.61","0.19","18.7","0.005","6"
"Deep Bay","DM1","2020-05-08","1","Surface Water","1.3","0.19","5.8","65","4.6","12","55","1.2","0.076","0.12","7.4","5.2","14.7","0.9","3.1","47","29.8","1.47","0.72","2","0.21","24.2","0.004","4.4"
"Deep Bay","DM1","2020-06-11","1","Surface Water","2.4","0.97","8.3","73","5.5","1600","2800","0.9","0.31","0.22","7.3","7.2","1.6","0.8","9.7","56","30","2.18","1.7","2.91","0.34","41.4","0.014","9.2"
"Deep Bay","DM1","2020-07-06","1","Surface Water","2","0.23","6.6","105","7.5","130","560","1.3","0.18","0.14","7.8","12","6","1","3.9","19","31.2","1.71","0.65","2.13","0.26","13.3","0.012","4.2"
"Deep Bay","DM1","2020-09-19","1","Surface Water","1.4","0.84","4.1","62","4.4","200","780","1.2","0.19","0.16","7.1","2.8","11.8","1.2","10","28","29.2","2.23","1.2","2.59","0.23","16.8","0.009","4.8"
"Deep Bay","DM1","2020-10-17","1","Surface Water","0.3","0.21","8.2","83","5.9","37","130","1.1","0.073","0.15","7.7","2.5","22.6","1.1","5","19","26.1","1.38","0.64","1.81","0.23","15.5","0.005","2.2"
"Deep Bay","DM1","2020-11-16","1","Surface Water","1.1","0.29","5.7","77","5.7","280","650","1.5","0.026","0.16","7.2","6","22","1.2","3.7","59","23.4","1.82","0.58","2.11","0.21","21.6","0.002","7.9"
"Deep Bay","DM2","2020-01-11","1","Surface Water","1.3","0.1","10","93","7.2","110","200","1.2","0.04","0.11","7.9","6","23.2","1.2","4.2","80","21.1","1.34","0.53","1.77","0.24","35.8","0.003","13"
"Deep Bay","DM2","2020-04-08","1","Surface Water","4.9","0.51","2.6","72","5.7","990","2500","1.5","0.082","0.13","7.3","2.8","17.8","1","6","27","21.6","2.09","0.87","2.45","0.15","13.3","0.004","4.9"
"Deep Bay","DM2","2020-05-08","1","Surface Water","1.4","0.11","11","69","4.8","17","24","1.1","0.06","0.11","7.8","5.5","15.3","1","2.9","52","29.7","1.27","0.58","1.74","0.18","37.5","0.005","5.8"
"Deep Bay","DM2","2020-06-11","1","Surface Water","2.2","0.93","7.1","75","5.6","6100","9600","1.1","0.31","0.16","7.4","5.6","3","0.8","10","48","29.8","2.34","1.6","3.01","0.27","42.7","0.019","7.2"
"Deep Bay","DM2","2020-07-06","1","Surface Water","1.9","0.075","8.7","90","6.4","39","100","1","0.1","0.14","8","8.1","8.7","1.3","3.2","36","30.9","1.18","0.48","1.58","0.21","26.9","0.006","6.1"
"Deep Bay","DM2","2020-09-19","1","Surface Water","1.1","0.69","3.6","85","6","600","1600","1","0.15","0.13","7.2","3","14.6","1.1","8.8","33","29.2","1.84","0.9","2.05","0.24","22","0.009","5.6"
"Deep Bay","DM2","2020-10-17","1","Surface Water","0.7","0.15","9.3","87","6.1","48","98","0.85","0.052","0.12","7.8","3.8","24.6","1","4.2","24","26.4","1.05","0.79","1.69","0.19","25.9","0.004","2.6"
"Deep Bay","DM2","2020-11-16","1","Surface Water","1.2","0.085","15","94","6.8","32","110","0.89","0.047","0.086","7.6","5.2","25.5","1","1.9","79","24.1","1.02","0.58","1.52","0.16","22.2","0.002","11"
"Deep Bay","DM3","2020-01-11","1","Surface Water","1","0.075","11","93","7.1","13","28","0.8","0.038","0.062","8.1","2.5","25.9","1.2","2.8","15","21.2","0.91","0.36","1.2","0.11","7.1","0.003","2.9"
"Deep Bay","DM3","2020-02-24","1","Surface Water","0.8","0.13","3.8","89","6.9","<1","3","0.53","0.014","0.036","8.2","1.8","27.5","1.5","2","8.5","20.2","0.67","0.67","1.21","0.06","5.9","0.006","1.4"
"Deep Bay","DM3","2020-03-25","1","Surface Water","0.9","0.12","1.7","73","5.5","19","44","0.76","0.04","0.01","8","1.3","22.7","1.6","3.2","6.5","23.1","0.92","0.22","1.02","0.05","8.2","0.005","1.2"
"Deep Bay","DM3","2020-04-08","1","Surface Water","4.3","0.22","1","56","4.3","88","120","0.79","0.043","0.07","8","1.5","22.4","1.5","3.7","16","21.3","1.05","0.34","1.17","0.1","7.3","0.009","2.8"
"Deep Bay","DM3","2020-05-08","1","Surface Water","0.9","0.14","2.4","72","5","9","29","0.67","0.03","0.044","7.8","1.9","19.4","1.3","3.8","15","28.7","0.84","0.34","1.04","0.06","9.8","0.006","2.2"
"Deep Bay","DM3","2020-06-11","1","Surface Water","0.8","0.11","2.1","94","7","450","2700","1.5","0.17","0.083","7.6","2.9","4.4","1.3","8.5","14","29.4","1.78","0.44","2.11","0.11","11.7","0.003","2.3"
"Deep Bay","DM3","2020-07-06","1","Surface Water","1","0.029","2.5","96","6.7","25","210","0.95","0.07","0.063","7.9","5.2","11.8","1.1","6.2","30","30.5","1.05","0.25","1.27","0.11","14.2","0.002","4"
"Deep Bay","DM3","2020-08-20","1","Surface Water","0.4","0.25","1.2","72","5","650","2400","0.75","0.1","0.08","7.4","1.3","18.3","1.3","4.4","13","29","1.1","0.32","1.17","0.11","10","0.004","1.8"
"Deep Bay","DM3","2020-09-19","1","Surface Water","0.6","0.32","1","79","5.4","1100","3900","0.79","0.12","0.092","7.4","1.7","20.1","1.1","5.4","18","29.3","1.23","0.38","1.29","0.14","11.3","0.006","3.2"
"Deep Bay","DM3","2020-10-17","1","Surface Water","0.3","0.085","2","85","5.8","2","4","0.41","0.034","0.066","7.9","1.8","27.9","1.4","2","11","26.6","0.53","0.56","1","0.12","9.7","0.003","1"
